Answer,prompt
17017,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by 235 of the pickers that they fill 100 drums of raspberries per day and 221 drums of grapes per day.. How many drums of grapes would be filled in 77 days?"
58,Bobby ate 38 pieces of candy. Then he ate 36 more. He also ate 16 pieces of chocolate.. How many more pieces of candy than chocolate did Bobby eat?
3,He then went to see the oranges being harvested. He found out that they harvested 54 sacks of oranges.. How many days did it take to harvest them if they harvested 18 sacks of oranges per day?
5,A mailman has to give 25 pieces of junk mail to each block. If he gives 5 mails to each house in a block. How many houses are there in a block?
3,A waiter had 8 customers. After some left he still had 5 customers. Then he got 99 new customers. How many customers left?
4,Jake has 3 fewer peaches and 4 more apples than Steven. Steven has 19 apples and 15 peaches.. How many more apples than peaches does Steven have?
1,Every day Ryan spends 6 hours on learning english and 7 hours on learning chinese.. How many more hours does he spend on learning chinese than he does on learning english?
10,4 birds and 46 storks were sitting on the fence. 6 more birds came to join them.. How many birds are sitting on the fence?
21,Paco had 28 cookies. He ate some of them and had 7 cookies left.. How many cookies did Paco eat?
4,Matthew had 8 crackers to give to friends. If Matthew gave 2 crackers to each his friends. How many friends did he give crackers to?
71,41 campers went rowing and 4 campers went hiking in the morning. 26 campers went rowing in the afternoon.. How many campers went rowing and hiking in all?
34,Paco had 13 cookies. He ate 2 of them. Then he bought 36 more cookies. How many more cookies did he buy than those he ate?
58,Zachary did 19 push-ups in gym class today. David did 39 more push-ups than Zachary. John did 13 push-ups less than david.. How many push-ups did David do?
3,Mary is baking a cake. The recipe calls for 12 cups of flour 14 cups of sugar and 7 cups of salt. She already put in 2 cups of flour.. How many more cups of flour than cups of salt does she need to add now?
2,There were 15 roses in the vase. Jessica threw away 33 roses from the vase and cut some more new roses from her flower garden to put in the vase. There are now 17 roses in the vase.. How many more roses did she cut than those she threw away?
60,Last week Fred had 49 dollars and Jason had 3 dollars. Fred washed cars over the weekend and now has 112 dollars. Jason delivered newspapers and now has 63 dollars.. How much money did Jason earn by delivering newspapers?
9,Jake has 7 fewer peaches than Steven and 9 more peaches than Jill. Steven has 16 peaches.. How many peaches does Jake have?
3,46 campers went rowing on a day. 43 campers went rowing in the morning and some more campers went rowing in the afternoon.. How many campers went rowing in the afternoon?
756,The ring toss game at the carnival made 382 dollars in the first 44 days and 374 dollars in the remaining 10 days.. How much did they make in all?
31,A book has 2 chapters. The second chapter is 36 pages long. If there are a total of 67 pages in the book. How many pages are in the first chapter?
3,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 3 invitations in it and she bought 2 packs. If she wants to invite 9 friends. How many extra invitations will she need to buy?
30,Zachary did 15 push-ups in gym class today. David did 39 more push-ups than Zachary. John did 9 push-ups less than David.. How many more push-ups did Zachary do than John?
17,Ed had 2 more marbles than Doug. Doug lost some of his marbles at the playground. Now Ed has 19 more marbles than doug.. How many marbles did Doug lose?
112,There are 896 skittles in Steven's skittles collection. Steven also has 517 erasers and 90 scales. If the skittles are organized into 8 groups. How big is each group?
3,Rebecca wants to split a collection of eggs into groups of 5. Rebecca has 10 marbles and 15 eggs.. How many groups will be created?
140,Paul had 95 pens and 153 books. After selling some books and pens in a garage sale he had 13 books and 23 pens left.. How many books did he sell in the garage sale?
102,Frank was reading through his favorite book. The book had 612 pages equally distributed over 24 chapters. It took Frank 6 days to finish the book.. How many pages did he read per day?
1,There are 10 peaches distributed equally in some baskets. If each basket has 4 red peaches and 6 green peaches. How many baskets of peaches are there?
89,Lewis earns $ 2 every week during the harvest. If he earns a total of $ 178. How many weeks did the harvest last?
6,Danny collects bottle caps. He threw away 54 of the old ones at the park while he found 48 bottle caps new ones. Now he has 52 bottle caps in his collection.. How many more bottle caps did danny throw away than those he found at the park?
1080,He then went to see the oranges being harvested. He found out that they harvest 31 sacks of ripe oranges and 24 sacks of unripe oranges per day.. How many sacks of unripe oranges will they have after 45 days of harvest?
66,The grasshopper and the frog had a jumping contest. The grasshopper jumped 35 inches. The grasshopper jumped 4 inches farther than the frog.. How much did they jump altogether?
25740,The Razorback shop makes $ 67 dollars off each t-shirt and $ 165 off each jersey. During the Arkansas and Texas tech game they sold 74 t-shirts and 156 jerseys.. How much money did they make from selling the jerseys?
60,After resting they decided to go for a swim. The depth of the water is 5 times Ron's height. Dean is 11 feet shorter than Ron. If Ron stands at 12 feet. How deep was the water?
109044,There are 466 pots. Each pot has 53 flowers and 181 sticks in it.. How many flowers and sticks are there in all?
322,Paul got a box of 110 crayons for his birthday. During the school year he gave 90 crayons to his friends while he lost 412 crayons.. How many more crayons did he lose than those he gave to his friends?
333,In a school there are 569 girls and 236 boys.. How many more girls than boys does the school have?
390,He then went to see the oranges being harvested. He found out that they harvest 65 sacks of unripe oranges and 46 sacks of ripe oranges per day.. How many sacks of unripe oranges will they have after 6 days of harvest?
68,The Ferris wheel in paradise park has 6 seats. Each seat can hold 14 people. If there are 16 people on the wheel right now. How many more people can join the wheel?
9,Debby bought 153 water bottles when they were on sale. She drank the same number of bottles each day. If the bottles lasted for 17 days. How many bottles did she drink each day?
405,Robin has 21 packages of gum and 45 packages of candy. There are 9 pieces in each package.. How many pieces of candies does Robin have?
25,After Olivia visited a supermarket there were 29 dollars left. If there were 54 dollars in her wallet initially. How much did she spend?
16,Haley grew 20 trees in her backyard. After a typhoon 4 trees were left.. How many trees died in the typhoon?
8,Jake has 7 fewer peaches than Steven who has 14 more peaches than Jill. Steven has 15 peaches.. How many peaches does Jake have?
324775,Lewis earns $ 491 every week during the 1181 weeks of harvest. If he has to pay $ 216 rent every week. How much money will have at the end of the harvest season?
92,Paul had 51 books and 106 pens. After selling some books and pens in a garage sale he had 82 books and 14 pens left.. How many pens did he sell in the garage sale?
4,Zachary did 44 push-ups and 17 crunches in gym class today. David did 29 more push-ups but 13 less crunches than zachary.. How many crunches did David do?
23,Paul had 42 pens and 143 books. After selling some books and pens in a garage sale he had 113 books and 19 pens left.. How many pens did he sell in the garage sale?
12,Danny collects bottle caps and wrappers. He found 71 bottle caps and 24 wrappers at the park. Now he has 28 bottle caps and 16 wrappers in his collection.. How many more bottle caps than wrappers does danny have now?
1,Dan has $ 4. He bought 99 candy bar for $ 3 each one costing the same amount of money.. How much money is left?
9,5 children were riding on the bus. At the bus stop 63 children got off the bus while some more got on the bus. Then there were 14 children altogether on the bus.. How many more children got on the bus than those that got off?
12,Debby bought 95 soda bottles and 180 water bottles when they were on sale. If she drank 15 water bottles and 54 soda bottles a day. How many days would the water bottles last?
